SpeciesName,x,y,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species
Klebsiella_pneumoniae,6.423048,11.252669,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae
Aeromonas_caviae,10.866153,7.3607078,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas caviae
Dialister_sp_CAG_357,7.4817963,1.7620606,Bacteria,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister sp_CAG_357
Enterococcus_phage_EF62phi,-6.2349653,3.6311269,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Unknown,Enterococcus phage_EF62phi
Sutterella_parvirubra,9.432328,6.614319,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella parvirubra
Burkholderiales_bacterium_1_1_47,9.277234,6.4728775,Bacteria,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiales_unclassified,Burkholderiales_unclassified,Burkholderiales bacterium_1_1_47
Prevotella_intermedia,12.843242,2.2619925,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia
Citrobacter_farmeri,6.37868,11.364542,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter farmeri
Klebsiella_virus_KP34,-5.9752164,4.362882,Viruses,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Drulisvirus,Klebsiella virus_KP34
Cronobacter_phage_CR5,-6.885357,3.290361,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Chimalliviridae,Derbicusvirus,Cronobacter phage_CR5
Lactobacillus_phage_Lc_Nu,-7.2289915,3.5955024,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Lacnuvirus,Lactobacillus phage_Lc_Nu
Bacteroides_caccae,13.917964,3.992148,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae
Escherichia_albertii,6.758026,11.355507,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia albertii
Lactobacillus_phage_LF1,-7.035671,3.4256468,Viruses,Viruses,Uroviricota,Caudoviricetes,Unknown,Unknown,Lafunavirus,Lactobacillus phage_LF1
Streptococcus_vestibularis,8.314144,8.542341,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus vestibularis
Parabacteroides_gordonii,14.134903,3.3635938,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides gordonii
Ruminococcus_albus,8.3046055,2.5708992,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus albus
Varibaculum_cambriense,12.212789,7.19831,Bacteria,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum cambriense
Prevotella_sp_CAG_873,12.796098,2.5938315,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp_CAG_873
Lactococcus_raffinolactis,9.074067,9.127091,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus raffinolactis
Bacteroides_uniformis,14.029519,4.4640694,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis
Escherichia_virus_RB69,-6.1876345,4.9686847,Viruses,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Mosigvirus,Escherichia virus_RB69
Turicibacter_sanguinis,10.451863,7.153608,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Turicibacteraceae,Turicibacter,Turicibacter sanguinis
Acinetobacter_lwoffii,7.635444,10.36701,Bacteria,Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter lwoffii
Lachnospiraceae_bacterium_1_1_57FAA,12.970107,8.084968,Bacteria,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae_unclassified,Lachnospiraceae bacterium_1_1_57FAA
Leuconostoc_garlicum,9.789342,9.259832,Bacteria,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc garlicum
Leuconostoc_pseudomesenteroides,9.929315,10.232565,Bacteria,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc pseudomesenteroides
Ruminococcus_sp_5_1_39BFAA,8.4080305,2.6679318,Bacteria,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus sp_5_1_39BFAA
Prevotella_loescheii,12.626321,2.6569088,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella loescheii
Actinomyces_massiliensis,12.362185,7.5036035,Bacteria,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces massiliensis
Porphyromonas_somerae,12.224926,3.4723961,Bacteria,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas somerae
Fusobacterium_hwasookii,9.60623,4.952726,Bacteria,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium hwasookii
Selenomonas_sputigena,-0.7783426,4.9549904,Bacteria,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sputigena
