sample_accession	secondary_sample_accession	study_accession	sample_title	description	first_public	last_updated	center_name	country	host_body_site	host_status	disease	host	host_scientific_name	project_name	collection_date
SAMEA1906436	ERS235553	PRJEB1786	524	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906465	ERS235503	PRJEB1786	334	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906439	ERS235640	PRJEB37358;PRJEB1786	550	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906442	ERS235543	PRJEB1786	478	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906469	ERS235530	PRJEB1786	436	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906444	ERS235552	PRJEB1786	517	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906472	ERS235605	PRJEB1786	263	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906495	ERS235550	PRJEB1786	497	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906445	ERS235635	PRJEB1786	297	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906497	ERS235602	PRJEB37358;PRJEB1786	244	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906451	ERS235625	PRJEB37358;PRJEB1786	158	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906455	ERS235546	PRJEB37358;PRJEB1786	484	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906505	ERS235519	PRJEB1786	389	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906512	ERS235529	PRJEB37358;PRJEB1786	434	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906482	ERS235525	PRJEB37358;PRJEB1786	421	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906489	ERS235504	PRJEB37358;PRJEB1786	344	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906514	ERS235565	PRJEB1786	561	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906524	ERS235558	PRJEB37358;PRJEB1786	536	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906523	ERS235549	PRJEB37358;PRJEB1786	495	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906528	ERS235574	PRJEB1786	598	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906531	ERS235567	PRJEB37358;PRJEB1786	577	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906529	ERS235537	PRJEB37358;PRJEB1786	458	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906533	ERS235603	PRJEB37358;PRJEB1786	248	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906540	ERS235538	PRJEB37358;PRJEB1786	462	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906543	ERS235593	PRJEB37358;PRJEB1786	205	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906546	ERS235604	PRJEB37358;PRJEB1786	258	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906549	ERS235637	PRJEB37358;PRJEB1786	470	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906554	ERS235577	PRJEB37358;PRJEB1786	602	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906566	ERS235638	PRJEB37358;PRJEB1786	475	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906570	ERS235563	PRJEB1786	552	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906571	ERS235515	PRJEB37358;PRJEB1786	378	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1906574	ERS235555	PRJEB37358;PRJEB1786	529	Human gut metagenome	2013-05-15	2021-03-19	CHALMERS								
SAMEA1964348	ERS199223	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA1965852	ERS199280	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA1969126	ERS328803	PRJEB37358;PRJEB4336	Stool sample from danish	Stool sample from danish	2013-09-10	2013-07-19	BGI	Denmark						MetaHIT-Richness	2008/2010
SAMEA1971210	ERS328945	PRJEB37358;PRJEB4336	Stool sample from danish	Stool sample from danish	2013-09-10	2013-07-19	BGI	Denmark						MetaHIT-Richness	2008/2010
SAMEA1972229	ERS199392	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA2041923	ERS199246	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA2041927	ERS199250	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
SAMEA1966431	ERS225172	PRJEB43961;PRJEB1690	Gut microbiomes of Korean Twin Pairs	S242_2	2014-12-31	2014-09-11	SNU								
SAMEA2042001	ERS199264	PRJEB25962;PRJEB1220	Stool sample from spanish	Stool sample from spanish	2014-05-14	2012-12-17	BGI	Spain						MetaHIT-MGS	2008/2010
